year,month,name,cause,acres,county,longitude,latitude
1970,9,FOOTHILL,14 - Unknown,4730.0517578125,Ventura,-119.24807511494636,34.298279180353724
1970,7,WARD,4 - Campfire,98.6087875366211,San Diego,-116.63135981393559,33.32335420647372
1970,10,BOULDER #2,14 - Unknown,657.1029663085938,San Diego,-116.62592027189032,33.00438699812889
1970,9,BOULDER,9 - Miscellaneous,12829.576171875,San Diego,-116.65794820852913,32.967122288035746
1970,11,KITCHEN,9 - Miscellaneous,40.08396530151367,San Diego,-116.446639304825,32.750449444466234
1970,9,CORONA,14 - Unknown,400.08624267578125,Riverside,-117.55286911450735,33.8047210426529
1970,9,BOUNDARY,9 - Miscellaneous,1415.723388671875,Riverside,-117.32870655703805,33.6135462323871
1970,11,BEAR,4 - Campfire,51655.24609375,San Bernardino,-117.06988088050173,34.16963166646615
1970,7,GUATAY,8 - Playing with fire,70.07044982910156,San Diego,-116.54848406881563,32.844279985182965
1970,8,POPLAR,9 - Miscellaneous,1420.922119140625,Ventura,-118.9938160604503,34.6145028643851
1970,7,BEAR MOUNTAIN #1,14 - Unknown,1609.7010498046875,Kern,-118.72293581544872,35.19650160776808
1970,9,SAND PLANT,7 - Arson,24.68832778930664,San Diego,-117.04665620556193,33.363796444743556
1970,10,CAMP GRANT,14 - Unknown,2969.71875,Humboldt,-123.87700444085495,40.314882468997055
1970,6,CAMP FAR WEST,14 - Unknown,588.6994018554688,Yuba,-121.3294383565263,39.064394948005095
1970,7,BANNISTER,14 - Unknown,454.35589599609375,Contra Costa,-121.88589686123136,37.98783546950745
1970,9,AGUA DULCE FIRE,14 - Unknown,21756.251953125,Los Angeles,-118.4264142919561,34.46704541700842
1970,6,SAN FRANCISQUITO FIRE,14 - Unknown,4488.79296875,Los Angeles,-118.51121872886593,34.480839106218816
1970,6,CALGROVE FIRE,14 - Unknown,43.04939651489258,Los Angeles,-118.5937737255712,34.364102592742164
1970,7,ALPINE DAM,14 - Unknown,110.95738983154295,Marin,-122.63675731278744,37.94522468845484
1970,6,JEWELL RANCH,14 - Unknown,75.68216705322266,Marin,-122.75591920935902,38.03944088658741
1970,6,BLACKWELL LAND CO.,14 - Unknown,464.0291748046875,Kern,-120.00465309996336,35.692357307094774
1970,6,OLD TEJON RANCH,14 - Unknown,719.0230712890625,Kern,-118.73563527456284,35.020713925485374
1970,5,POWER HOUSE,14 - Unknown,918.1663208007812,Kern,-118.89099686468235,35.452126609958775
1970,6,RIPLEY LEASE,14 - Unknown,1371.102783203125,Kern,-119.30408573172504,35.025052933171466
1970,6,SHANNON FIRE,14 - Unknown,2509.401611328125,Los Angeles,-118.22144097032144,34.53004495702438
1970,5,NELSON,9 - Miscellaneous,3586.169921875,Orange,-117.61479433427492,33.656962046533195
1970,9,THEATER,14 - Unknown,1191.789794921875,San Diego,-117.24645684411794,33.10360852573718
1970,9,LILAC,9 - Miscellaneous,2083.36474609375,San Diego,-117.08820956478277,33.247075896967466
1970,7,BRILES,7 - Arson,2.1467115879058842,Modoc,-120.34231115190629,41.76920731258139
1970,8,HILTON,2 - Equipment Use,253.29034423828125,Modoc,-120.7397126785047,41.243731884546044
1970,5,PROJECT,2 - Equipment Use,326.5916748046875,Kern,-118.58578354517164,35.57709246865413
1970,10,HONBY FIRE,14 - Unknown,351.9757080078125,Los Angeles,-118.48827472103656,34.40291587401355
1970,9,RED MOUNTAIN,3 - Smoking,25492.349609375,Kern,-118.6461427745709,35.66356981890423
1970,7,PEACHTREE,3 - Smoking,71.94458770751953,Mariposa,-119.79553717085638,37.611588497449134
1970,9,WATT,3 - Smoking,82.75515747070312,Mariposa,-119.76479612530144,37.43726428440426
1970,8,MARION,7 - Arson,23.198997497558594,San Diego,-117.04088469434905,33.360808471056984
1970,5,POWERHOUSE,3 - Smoking,692.02783203125,Kern,-118.78786336047668,35.45499933188853
1970,5,GULF OIL CORPORATION,14 - Unknown,696.8755493164062,Santa Barbara,-120.32887858141103,34.805846911257085
1970,9,SCHOOL HOUSE CREEK,14 - Unknown,773.046630859375,Sonoma,-123.0023447201818,38.729855658386754
1970,10,FPD #92 (AL),14 - Unknown,499.6251525878906,San Bernardino,-117.55957067526501,34.13983646671443
1970,4,GO,5 - Debris,2.9869303703308105,Del Norte,-123.82714014181556,41.58355241842808
1970,7,CARNEGIE #3,14 - Unknown,4389.78125,San Joaquin,-121.55081291128764,37.619015289311534
1970,7,RUMSEY SERIES,14 - Unknown,292.24127197265625,Yolo,-122.28012102651329,38.910668188693506
1970,9,CLARKS BUTTE,14 - Unknown,2850.581787109375,Humboldt,-123.9497534283831,40.164512948227774
1970,7,COPPER MTN.,14 - Unknown,2499.77978515625,Stanislaus,-121.30821285884531,37.42673746539477
1970,9,VERDIMONT,14 - Unknown,1100.648681640625,San Bernardino,-117.37907615000911,34.19509002066753
1970,7,PARKHILL,14 - Unknown,4350.72802734375,San Luis Obispo,-120.52797777568495,35.41328174827791
1970,9,BUCKEYE,14 - Unknown,1893.6590576171875,Monterey,-121.33679303215365,35.81431936388886
1970,7,CARTER,14 - Unknown,647.4928588867188,Monterey,-120.9047469629738,36.20588362387733
1970,7,PONDEROSA,14 - Unknown,296.69158935546875,Placer,-120.93398012366787,39.01166126794524
1970,9,POLLOCK PINES,14 - Unknown,301.4768981933594,El Dorado,-120.60347835796816,38.74910393608563
1970,7,SHOCKLEY,14 - Unknown,285.52374267578125,Sutter,-121.46808713961016,38.98321269556943
1970,7,SILVEY #2,14 - Unknown,497.4840087890625,Solano,-122.08930783651056,38.50730284838545
1970,9,STWARTVILLE,14 - Unknown,407.9174499511719,Contra Costa,-121.85315704291071,37.94261237065568
1970,9,STWEWARTVILLE #2,14 - Unknown,335.22857666015625,Contra Costa,-121.85100152457848,37.95205010540433
1970,7,TASSAJARA,14 - Unknown,448.5026245117188,Contra Costa,-121.91369352887699,37.80464453494018
1970,5,WILLOW ROAD,14 - Unknown,391.649169921875,San Luis Obispo,-120.52431907213716,35.045082197566536
1970,7,JAMES,2 - Equipment Use,1511.9449462890625,Kern,-118.40537459640251,35.759392548449235
1970,10,LOOKOUT P,3 - Smoking,169.9464569091797,Tulare,-118.73763256600569,36.4485274166273
1970,7,WINNET FIRE,14 - Unknown,304.57708740234375,Los Angeles,-117.86819964777635,34.02391960013584
1970,9,FULLERTON FIRE,14 - Unknown,3381.0673828125,Los Angeles,-117.88534445229277,33.961430706829425
1970,9,HACIENDA FIRE,14 - Unknown,176.11810302734375,Los Angeles,-117.96036430694149,33.97746717529159
1970,9,SAN DIMAS FIRE,14 - Unknown,174.1889190673828,Los Angeles,-117.79406852604164,34.07515941261189
1970,9,WRIGHT FIRE,14 - Unknown,28202.345703125,Los Angeles,-118.70020414745468,34.07881119451564
1970,9,GOLF COURSE FIRE,14 - Unknown,200.7137756347656,Los Angeles,-118.65438791051376,34.14721959816473
1970,9,WHITE HORSE FIRE,14 - Unknown,144.1007843017578,Los Angeles,-118.39390660203966,34.29236446868482
1970,5,GRASS,14 - Unknown,707.5338745117188,Santa Barbara,-120.33668513518845,34.03551827914151
1970,9,U3-RANCH,14 - Unknown,446.8434448242188,Calaveras,-120.77236608452671,37.977302365123904
1970,6,VAQUERO,14 - Unknown,550.9142456054689,Contra Costa,-121.66334524892908,37.835980767906435
1970,9,WILLIAMS,14 - Unknown,1701.978759765625,Mariposa,-120.19745284808408,37.590384341911424
1970,7,WPRR #9,14 - Unknown,1532.5648193359375,Alameda,-121.60052113669487,37.74901941711264
1970,9,BUCKEYE,9 - Miscellaneous,42307.453125,Monterey,-121.35315131023829,35.86739144884818
1970,6,GIBBON,14 - Unknown,492.7801818847656,Tulare,-118.8145948659225,36.01710089453528
1970,9,FORK FIRE/USFS,14 - Unknown,4234.00830078125,Los Angeles,-117.82002431278984,34.264241187799094
1970,9,CLAMPITT FIRE,14 - Unknown,115537.421875,Ventura,-118.71452280105134,34.29880622951204
1970,7,MARTIN,14 - Unknown,682.0914306640625,Madera,-119.8415848724673,37.15436401749614
1970,5,MOTHER'S DAY,14 - Unknown,304.5181579589844,Merced,-120.87312520704585,36.94877055946996
1970,6,OAT CANYON,14 - Unknown,139.10305786132812,Tulare,-118.95914823152201,36.21948904492045
1970,8,ORTIGALITA RIDGE,14 - Unknown,599.48828125,Merced,-120.95916909549507,36.79914426991294
1970,9,TECTATE,14 - Unknown,1755.0428466796875,San Diego,-116.68091112311943,32.577606256121896
1970,6,BOX,14 - Unknown,317.4652404785156,Riverside,-117.2917683930509,33.988436254682405
1970,11,BOX #11,14 - Unknown,1518.209228515625,Riverside,-117.27794743751785,33.9692022462342
1970,9,CASCO #2,14 - Unknown,6234.29150390625,Riverside,-117.1147470054083,33.994073450589674
1970,8,CASCO RAILROAD #26,14 - Unknown,553.077392578125,Riverside,-117.11881687601328,33.96791942469928
1970,4,SHELL OIL CO.,14 - Unknown,186.1361389160156,Kern,-119.023443650279,35.54645493356878
1970,8,BELL,9 - Miscellaneous,1082.0528564453123,Plumas,-120.88506642351852,39.97711655768465
1970,8,WYLIE,9 - Miscellaneous,340.341064453125,Madera,-119.56227120657095,37.199369889624684
1970,8,OUR,4 - Campfire,15.244117736816404,Sierra,-121.02326400151371,39.404815261120575
1970,8,LOST CANY,1 - Lightning,16.908241271972653,Tulare,-118.48091437744905,36.45924489995043
1970,8,BUBBS CRE,1 - Lightning,424.4803771972656,Fresno,-118.5181419195393,36.79051542163533
1970,6,HUME,7 - Arson,179.29212951660156,Fresno,-118.92589251458516,36.78017223809067
1970,5,ERICKSON,3 - Smoking,152.95376586914062,Siskiyou,-122.11827496267144,41.66002773243308
1970,6,WOOLEY,1 - Lightning,23.507953643798828,Siskiyou,-123.17877872060028,41.485503466876786
1970,3,YELLOW,3 - Smoking,6.09198808670044,Yuba,-121.11317052789005,39.3955477381133
1970,9,GULCH FIRE,14 - Unknown,512.2395629882811,Los Angeles,-118.71959256179676,34.737816597049914
1970,8,MEETING FIRE,14 - Unknown,1012.9431762695312,Los Angeles,-118.14045441882757,34.53796587304747
1970,5,LONG RIDGE,9 - Miscellaneous,597.8042602539062,Madera,-119.48907307897517,37.15006914050536
1970,4,BRISCOE,9 - Miscellaneous,20.981204986572266,Glenn,-122.61272508320515,39.511590593676594
1971,8,SISTERS,1 - Lightning,12.478887557983398,Siskiyou,-121.74137934593504,41.701353359457066
1971,9,PITNEY,7 - Arson,771.2103881835938,Lake,-122.88162383604151,39.200327740202866
1971,10,ROMERO,7 - Arson,15649.5224609375,Santa Barbara,-119.51393212561972,34.4476654323678
1971,9,RED FIR,5 - Debris,337.8056640625,Siskiyou,-122.99705721054563,41.9230308768565
1971,8,CIELLO,7 - Arson,2546.406982421875,Santa Barbara,-119.72293485702903,34.552929749041446
1971,6,GLACIER VIEW,5 - Debris,253.2423248291016,Siskiyou,-123.01821553231487,41.08390998544353
1971,8,ASHE,14 - Unknown,829.1767578125,San Benito,-121.23622640589012,36.76634782206202
1971,7,BARBREE #2,14 - Unknown,266.13385009765625,Monterey,-121.14969948320723,36.070874687858435
1971,7,P.G.&E. #10,14 - Unknown,2272.783203125,Monterey,-121.16686722038031,36.07139594397994
1971,6,SLACK CANYON,14 - Unknown,852.8785400390625,Monterey,-120.66452954958599,36.101582281922994
1971,6,SWEETWATER,14 - Unknown,1667.5433349609375,San Benito,-120.86880718000114,36.35785050530886
1971,7,WET,9 - Miscellaneous,40.14731979370117,San Diego,-116.6514292242578,32.670472558598185
1971,8,TIONESTA,2 - Equipment Use,533.3500366210939,Modoc,-121.29998251865436,41.6617106372622
1971,9,CASTERLINE,14 - Unknown,420.6087951660156,Siskiyou,-122.48101562055349,41.563246426793945
1971,10,MORENA,7 - Arson,58.5638542175293,San Diego,-116.49177877015656,32.68561319797474
1971,11,BALDY,18 - Escaped Prescribed Burn,26.33371543884277,Sierra,-120.48566869788954,39.54669456816055
1971,8,TWIN,6 - Railroad,3358.91162109375,Modoc,-121.34663694749293,41.78549185058299
1971,8,CASUSE,6 - Railroad,1568.40771484375,Modoc,-121.37146081238636,41.797541120673436
1971,11,WIND,5 - Debris,9.636496543884276,Kern,-118.36589155897636,35.46693610182322
1971,4,LANDERS,4 - Campfire,78.50872039794922,Kern,-118.28407431177335,35.44150432767103
1971,7,SCHEELINE,14 - Unknown,974.3778686523438,Glenn,-122.33936290135507,39.570917908832776
1971,10,GOODENOUGH,14 - Unknown,2255.092041015625,Ventura,-118.9086576875653,34.43049610030026
1971,7,GARTEL FIRE,14 - Unknown,118.5195770263672,Los Angeles,-117.84913561567265,34.03662174886074
1971,8,MONTEZUMA FIRE,14 - Unknown,286.05633544921875,Los Angeles,-117.88888520294078,34.04368476698874
1971,8,PUENTE FIRE,14 - Unknown,165.05117797851562,Los Angeles,-117.83768522365122,34.07554047703
1971,9,CAMARILLO GROVE FIRE,14 - Unknown,243.4617919921875,Ventura,-118.95374162897,34.204677514793055
1971,8,ANAHUAC,9 - Miscellaneous,110.49127960205078,San Diego,-116.6721512558942,32.9874423161348
1971,6,WHITE SPRINGS,2 - Equipment Use,378.5978088378906,San Diego,-117.48953728229088,33.478136751577246
1971,9,POWERHOUSE,9 - Miscellaneous,23.075199127197266,Kern,-118.79067259272566,35.43866334286962
1971,7,ROCKY,9 - Miscellaneous,360.00128173828125,Kern,-118.75019186404572,35.48745842542676
1971,10,BLOOMFIELD,3 - Smoking,1701.365234375,Kern,-118.20380611021005,35.77545076354833
1971,4,SILVER MTN.,7 - Arson,112.19672393798828,Calaveras,-120.44883083756015,38.36133143655535
1971,9,SEQUOIA FIRE/USFS,14 - Unknown,511.3775024414063,Los Angeles,-118.28935147873008,34.306835396052925
1971,9,LODI FIRE,14 - Unknown,343.2963562011719,Los Angeles,-117.78139036281858,34.14696605491935
1971,8,MUREAU FIRE,14 - Unknown,144.77525329589844,Los Angeles,-118.67368823450384,34.15490250578148
1971,9,MENDENHALL FIRE/USFS,14 - Unknown,425.1181640625,Los Angeles,-118.31668690141407,34.34466538167919
1971,11,TEXAS FIRE/USFS,14 - Unknown,338.8970947265625,Los Angeles,-118.41246939250972,34.526242712785184
1971,9,BENMORE,4 - Campfire,374.88079833984375,Lake,-122.98585115346704,39.41270049565418
1971,10,CLOUGH CA,3 - Smoking,48.26966857910156,Tulare,-118.77210949327879,36.35625830097847
1971,8,BALL DOME,1 - Lightning,244.24986267089844,Tulare,-118.69041370748421,36.69459264314446
1971,10,RABBIT,14 - Unknown,1223.828369140625,San Diego,-116.98996124943857,32.9508907133842
1971,10,MARQUERITE,14 - Unknown,731.620361328125,Merced,-120.10521061201167,37.174096091207794
1971,8,THOMPSON,1 - Lightning,15.45612907409668,Tuolumne,-120.06186678606205,37.99375953259293
